,created_by,created_at,closed_by,closed_at,labels,interactions,repository,type,size,merged_at,commits_number,referenced_issues,reviews,requested_reviewers
0,goern,1591270804,,,[],{},thoth-station/core,Issue,,,,,,
1,sesheta,1590227882,,,['enhancement'],{'goern': 38},thoth-station/core,Issue,,,,,,
2,goern,1589888668,goern,1590229020.0,[],{'goern': 18},thoth-station/core,Issue,,,,,,
3,goern,1570533996,thoth-zuul[bot],1570623282.0,['bug'],{},thoth-station/core,Issue,,,,,,
4,fridex,1555574041,fridex,1568197978.0,[],{'fridex': 12},thoth-station/core,Issue,,,,,,
5,fridex,1552886882,,,['good first issue'],{},thoth-station/core,Issue,,,,,,
6,sentry-io[bot],1552719637,goern,1570598474.0,[],{'goern': 2},thoth-station/core,Issue,,,,,,
7,pacospace,1551174812,thoth-zuul[bot],1551437603.0,[],{},thoth-station/core,Issue,,,,,,
8,todo[bot],1550221674,goern,1585815128.0,['todo :spiral_notepad:'],{},thoth-station/core,Issue,,,,,,
9,fridex,1547816890,goern,1572888401.0,[],{},thoth-station/core,Issue,,,,,,
10,todo[bot],1546597282,goern,1572888414.0,['todo :spiral_notepad:'],{},thoth-station/core,Issue,,,,,,
11,todo[bot],1541082503,goern,1541232316.0,['todo :spiral_notepad:'],{},thoth-station/core,Issue,,,,,,
12,fridex,1540809985,thoth-zuul[bot],1541225535.0,[],{},thoth-station/core,Issue,,,,,,
13,fridex,1540809477,goern,1573402543.0,"['good first issue', 'help wanted']",{},thoth-station/core,Issue,,,,,,
14,fridex,1540809256,goern,1573402543.0,"['good first issue', 'help wanted']",{},thoth-station/core,Issue,,,,,,
15,fridex,1540807337,goern,1586363477.0,[],{'fridex': 80},thoth-station/core,Issue,,,,,,
16,fridex,1539857341,goern,1585834855.0,[],"{'goern': 65, 'fridex': 122, 'harshad16': 77}",thoth-station/core,Issue,,,,,,
17,fridex,1539857103,,,[],{},thoth-station/core,Issue,,,,,,
18,fridex,1539673943,,,[],{},thoth-station/core,Issue,,,,,,
19,sentry-io[bot],1539189670,thoth-zuul[bot],1539191400.0,[],{},thoth-station/core,Issue,,,,,,
20,goern,1538717790,fridex,1542922931.0,['enhancement'],{'fridex': 10},thoth-station/core,Issue,,,,,,
21,fridex,1537798019,fridex,1568198853.0,[],{'fridex': 4},thoth-station/core,Issue,,,,,,
22,fridex,1537792048,,,[],{},thoth-station/core,Issue,,,,,,
23,fridex,1537120964,thoth-zuul[bot],1537263628.0,[],{},thoth-station/core,Issue,,,,,,
24,fridex,1536139957,fridex,1538603548.0,[],"{'goern': 29, 'fridex': 14}",thoth-station/core,Issue,,,,,,
25,goern,1535714483,,,[],{},thoth-station/core,Issue,,,,,,
26,fridex,1533272455,thoth-zuul[bot],1536122535.0,['good first issue'],{},thoth-station/core,Issue,,,,,,
27,fridex,1532067231,fridex,1533114609.0,[],{'fridex': 15},thoth-station/core,Issue,,,,,,
28,fridex,1531980533,fridex,1533703416.0,[],"{'goern': 6, 'fridex': 2}",thoth-station/core,Issue,,,,,,
29,goern,1531401667,fridex,1538603789.0,['bug'],{},thoth-station/core,Issue,,,,,,
30,goern,1531022147,fridex,1531374446.0,['bug'],{'fridex': 3},thoth-station/core,Issue,,,,,,
31,fridex,1530158709,goern,1538849138.0,['bug'],{},thoth-station/core,Issue,,,,,,
32,fridex,1530158300,,,['enhancement'],{},thoth-station/core,Issue,,,,,,
33,goern,1529434778,goern,1531022264.0,"['component/bots', 'enhancement', 'help wanted']",{'goern': 7},thoth-station/core,Issue,,,,,,
34,fridex,1528982066,goern,1531893428.0,"['good first issue', 'work-in-progress']","{'goern': 34, 'fridex': 8}",thoth-station/core,Issue,,,,,,
35,goern,1528812518,,,"['enhancement', 'help wanted']",{'fridex': 19},thoth-station/core,Issue,,,,,,
36,goern,1526565626,goern,1531022363.0,"['bug', 'component/bots', 'good first issue', 'help wanted', 'size/XS']",{'goern': 7},thoth-station/core,Issue,,,,,,
37,goern,1525012202,fridex,1538603874.0,"['component/metrics', 'enhancement']",{},thoth-station/core,Issue,,,,,,
38,goern,1524818498,fridex,1524829076.0,['enhancement'],{'fridex': 5},thoth-station/core,Issue,,,,,,
39,fridex,1524732917,goern,1573402543.0,['bug'],{},thoth-station/core,Issue,,,,,,
40,goern,1524673611,fridex,1538603924.0,"['#hacktoberfest', 'enhancement', 'good first issue']",{'fridex': 28},thoth-station/core,Issue,,,,,,
41,goern,1524649641,goern,1573402543.0,"['help wanted', 'question']",{},thoth-station/core,Issue,,,,,,
42,fridex,1524558478,sesheta,1528784711.0,['good first issue'],{},thoth-station/core,Issue,,,,,,
43,fridex,1524556387,fridex,1538603963.0,['good first issue'],{'fridex': 4},thoth-station/core,Issue,,,,,,
44,fridex,1524556285,fridex,1538603969.0,['good first issue'],{'fridex': 4},thoth-station/core,Issue,,,,,,
45,goern,1524476617,fridex,1524492283.0,"['enhancement', 'good first issue', 'help wanted']",{'fridex': 9},thoth-station/core,Issue,,,,,,
46,goern,1524466707,fridex,1524478905.0,['enhancement'],{'fridex': 4},thoth-station/core,Issue,,,,,,
47,fridex,1524466015,fridex,1524550896.0,['good first issue'],{'fridex': 14},thoth-station/core,Issue,,,,,,
48,goern,1524465962,fridex,1524492321.0,['bug'],"{'goern': 3, 'fridex': 6}",thoth-station/core,Issue,,,,,,
49,goern,1524460173,fridex,1524460642.0,[],"{'fridex': 1, 'goern': 2}",thoth-station/core,Issue,,,,,,
50,goern,1524218319,goern,1531022472.0,"['bug', 'good first issue', 'help wanted']",{'goern': 6},thoth-station/core,Issue,,,,,,
51,goern,1524119390,goern,1524218230.0,['bug'],{'goern': 4},thoth-station/core,Issue,,,,,,
